timestamp,value,label
10/04/2014 00:04,94,0
10/04/2014 00:09,56,0
10/04/2014 00:14,187,0
10/04/2014 00:19,95,0
10/04/2014 00:24,51,0
10/04/2014 00:29,10,0
10/04/2014 00:34,49,0
10/04/2014 00:39,79,0
10/04/2014 00:44,24,0
10/04/2014 00:49,73,0
10/04/2014 00:54,45,0
10/04/2014 00:59,9,0
10/04/2014 01:04,33,0
10/04/2014 01:09,14,0
10/04/2014 01:14,57,0
10/04/2014 01:19,139,0
10/04/2014 01:24,21,0
10/04/2014 01:29,47,0
10/04/2014 01:34,124,0
10/04/2014 01:39,34,0
10/04/2014 01:44,73,0
10/04/2014 01:49,6,0
10/04/2014 01:54,115,0
10/04/2014 01:59,14,0
10/04/2014 02:04,21,0
10/04/2014 02:09,91,0
10/04/2014 02:14,55,0
10/04/2014 02:19,85,0
10/04/2014 02:24,102,0
10/04/2014 02:29,119,0
10/04/2014 02:34,139,0
10/04/2014 02:39,69,0
10/04/2014 02:44,142,0
10/04/2014 02:49,45,0
10/04/2014 02:54,48,0
10/04/2014 02:59,3,0
10/04/2014 03:04,32,0
10/04/2014 03:09,4,0
10/04/2014 03:14,72,0
10/04/2014 03:19,103,0
10/04/2014 03:24,64,0
10/04/2014 03:29,44,0
10/04/2014 03:34,30,0
10/04/2014 03:39,4,0
10/04/2014 03:44,4,0
10/04/2014 03:49,79,0
10/04/2014 03:54,83,0
10/04/2014 03:59,3,0
10/04/2014 04:04,21,0
10/04/2014 04:09,33,0
10/04/2014 04:14,72,0
10/04/2014 04:19,87,0
10/04/2014 04:24,190,0
10/04/2014 04:29,10,0
10/04/2014 04:34,44,0
10/04/2014 04:39,24,0
10/04/2014 04:44,32,0
10/04/2014 04:49,111,0
10/04/2014 04:54,106,0
10/04/2014 04:59,49,0
10/04/2014 05:04,56,0
10/04/2014 05:09,79,0
10/04/2014 05:14,42,0
10/04/2014 05:19,112,0
10/04/2014 05:24,21,0
10/04/2014 05:29,48,0
10/04/2014 05:34,48,0
10/04/2014 05:39,91,0
10/04/2014 05:44,191,0
10/04/2014 05:49,8,0
10/04/2014 05:54,25,0
10/04/2014 05:59,93,0
10/04/2014 06:04,37,0
10/04/2014 06:09,24,0
10/04/2014 06:14,35,0
10/04/2014 06:19,45,0
10/04/2014 06:24,11,0
10/04/2014 06:29,50,0
10/04/2014 06:34,3,0
10/04/2014 06:39,75,0
10/04/2014 06:44,79,0
10/04/2014 06:49,22,0
10/04/2014 06:54,143,0
10/04/2014 06:59,24,0
10/04/2014 07:04,222,0
10/04/2014 07:09,57,0
10/04/2014 07:14,10,0
10/04/2014 07:19,46,0
10/04/2014 07:24,6,0
10/04/2014 07:29,60,0
10/04/2014 07:34,30,0
10/04/2014 07:39,17,0
10/04/2014 07:44,11,0
10/04/2014 07:49,107,0
10/04/2014 07:54,120,0
10/04/2014 07:59,4,0
10/04/2014 08:04,150,0
10/04/2014 08:09,90,0
10/04/2014 08:14,52,0
10/04/2014 08:19,35,0
10/04/2014 08:24,8,0
10/04/2014 08:29,5,0
10/04/2014 08:34,167,0
10/04/2014 08:39,139,0
10/04/2014 08:44,54,0
10/04/2014 08:49,3,0
10/04/2014 08:54,102,0
10/04/2014 08:59,12,0
10/04/2014 09:04,17,0
10/04/2014 09:09,66,0
10/04/2014 09:14,94,0
10/04/2014 09:19,6,0
10/04/2014 09:24,102,0
10/04/2014 09:29,82,0
10/04/2014 09:34,45,0
10/04/2014 09:39,8,0
10/04/2014 09:44,3,0
10/04/2014 09:49,107,0
10/04/2014 09:54,15,0
10/04/2014 09:59,9,0
10/04/2014 10:04,1,0
